instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_indonesia,weather_indonesia,month_indonesia
3891,2011-06-16,Summer,2011,6,0,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.6,0.6212,0.56,0.1045,9,38,47,Musim Panas,Cerah,Juni
3892,2011-06-16,Summer,2011,6,1,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.58,0.5455,0.6,0.0,4,13,17,Musim Panas,Cerah,Juni
3893,2011-06-16,Summer,2011,6,2,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.6,0.6212,0.56,0.0896,1,4,5,Musim Panas,Cerah,Juni
3894,2011-06-16,Summer,2011,6,3,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.56,0.5303,0.73,0.0896,0,4,4,Musim Panas,Berawan/Berkabut,Juni
3895,2011-06-16,Summer,2011,6,4,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.56,0.5303,0.68,0.1045,0,6,6,Musim Panas,Berawan/Berkabut,Juni
3896,2011-06-16,Summer,2011,6,5,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.6,0.6061,0.64,0.194,7,18,25,Musim Panas,Cerah,Juni
3897,2011-06-16,Summer,2011,6,6,0,4,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.58,0.5455,0.73,0.1642,8,104,112,Musim Panas,Hujan Ringan/Salju,Juni
3898,2011-06-16,Summer,2011,6,7,0,4,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.56,0.5303,0.78,0.1642,16,172,188,Musim Panas,Hujan Ringan/Salju,Juni
3899,2011-06-16,Summer,2011,6,8,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.6,0.5909,0.69,0.1343,24,364,388,Musim Panas,Berawan/Berkabut,Juni
3900,2011-06-16,Summer,2011,6,9,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.62,0.6061,0.65,0.194,29,232,261,Musim Panas,Berawan/Berkabut,Juni
3901,2011-06-16,Summer,2011,6,10,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.66,0.6212,0.61,0.2537,18,103,121,Musim Panas,Berawan/Berkabut,Juni
3902,2011-06-16,Summer,2011,6,11,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.68,0.6364,0.61,0.2985,33,117,150,Musim Panas,Berawan/Berkabut,Juni
3903,2011-06-16,Summer,2011,6,12,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.72,0.6667,0.54,0.3881,41,165,206,Musim Panas,Cerah,Juni
3904,2011-06-16,Summer,2011,6,13,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.72,0.6667,0.54,0.2537,37,114,151,Musim Panas,Berawan/Berkabut,Juni
3905,2011-06-16,Summer,2011,6,14,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.72,0.6667,0.54,0.3284,39,114,153,Musim Panas,Berawan/Berkabut,Juni
3906,2011-06-16,Summer,2011,6,15,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.7,0.6515,0.61,0.2985,32,127,159,Musim Panas,Berawan/Berkabut,Juni
3907,2011-06-16,Summer,2011,6,16,0,4,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.66,0.6212,0.69,0.194,36,258,294,Musim Panas,Hujan Ringan/Salju,Juni
3908,2011-06-16,Summer,2011,6,17,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.64,0.5909,0.78,0.1045,42,230,272,Musim Panas,Berawan/Berkabut,Juni
3909,2011-06-16,Summer,2011,6,18,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.64,0.5758,0.83,0.2239,26,299,325,Musim Panas,Cerah,Juni
3910,2011-06-16,Summer,2011,6,19,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.62,0.5758,0.83,0.2836,58,269,327,Musim Panas,Cerah,Juni
3911,2011-06-16,Summer,2011,6,20,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.62,0.5758,0.83,0.3284,25,176,201,Musim Panas,Cerah,Juni
3912,2011-06-16,Summer,2011,6,21,0,4,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.62,0.5758,0.83,0.2537,34,154,188,Musim Panas,Hujan Ringan/Salju,Juni
3913,2011-06-16,Summer,2011,6,22,0,4,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.62,0.5758,0.83,0.2537,24,127,151,Musim Panas,Hujan Ringan/Salju,Juni
3914,2011-06-16,Summer,2011,6,23,0,4,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.6,0.5606,0.83,0.2537,2,14,16,Musim Panas,Hujan Ringan/Salju,Juni
3915,2011-06-17,Summer,2011,6,0,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.88,0.0896,3,21,24,Musim Panas,Cerah,Juni
3916,2011-06-17,Summer,2011,6,1,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.94,0.1343,4,19,23,Musim Panas,Cerah,Juni
3917,2011-06-17,Summer,2011,6,2,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.94,0.1045,2,11,13,Musim Panas,Cerah,Juni
3918,2011-06-17,Summer,2011,6,3,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.94,0.1045,1,5,6,Musim Panas,Cerah,Juni
3919,2011-06-17,Summer,2011,6,4,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.54,0.5152,0.94,0.1343,1,5,6,Musim Panas,Cerah,Juni
3920,2011-06-17,Summer,2011,6,5,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.54,0.5152,1.0,0.0,1,12,13,Musim Panas,Cerah,Juni
3921,2011-06-17,Summer,2011,6,6,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.94,0.0,8,89,97,Musim Panas,Cerah,Juni
3922,2011-06-17,Summer,2011,6,7,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.6,0.5606,0.83,0.0,25,225,250,Musim Panas,Cerah,Juni
3923,2011-06-17,Summer,2011,6,8,0,5,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.6,0.5606,0.83,0.0,28,426,454,Musim Panas,Berawan/Berkabut,Juni
3924,2011-06-17,Summer,2011,6,9,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.7,0.6515,0.58,0.194,28,196,224,Musim Panas,Cerah,Juni
3925,2011-06-17,Summer,2011,6,10,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.7,0.6515,0.58,0.194,44,126,170,Musim Panas,Cerah,Juni
3926,2011-06-17,Summer,2011,6,11,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.68,0.6364,0.69,0.2537,43,138,181,Musim Panas,Cerah,Juni
3927,2011-06-17,Summer,2011,6,12,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.7,0.6515,0.65,0.2537,49,194,243,Musim Panas,Cerah,Juni
3928,2011-06-17,Summer,2011,6,13,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.74,0.6818,0.62,0.2836,48,156,204,Musim Panas,Cerah,Juni
3929,2011-06-17,Summer,2011,6,14,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.76,0.697,0.52,0.194,73,142,215,Musim Panas,Cerah,Juni
3930,2011-06-17,Summer,2011,6,15,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.78,0.697,0.43,0.2239,62,181,243,Musim Panas,Cerah,Juni
3931,2011-06-17,Summer,2011,6,16,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.76,0.6818,0.45,0.1642,69,286,355,Musim Panas,Cerah,Juni
3932,2011-06-17,Summer,2011,6,17,0,5,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.76,0.6818,0.4,0.194,85,467,552,Musim Panas,Hujan Ringan/Salju,Juni
3933,2011-06-17,Summer,2011,6,18,0,5,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.76,0.6818,0.4,0.194,62,388,450,Musim Panas,Hujan Ringan/Salju,Juni
3934,2011-06-17,Summer,2011,6,19,0,5,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.64,0.5758,0.83,0.2537,53,275,328,Musim Panas,Hujan Ringan/Salju,Juni
3935,2011-06-17,Summer,2011,6,20,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.64,0.5909,0.78,0.1045,40,192,232,Musim Panas,Cerah,Juni
3936,2011-06-17,Summer,2011,6,21,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.64,0.5909,0.78,0.0896,49,159,208,Musim Panas,Cerah,Juni
3937,2011-06-17,Summer,2011,6,22,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.62,0.5606,0.88,0.1343,48,127,175,Musim Panas,Cerah,Juni
3938,2011-06-17,Summer,2011,6,23,0,5,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.62,0.5758,0.83,0.1343,37,141,178,Musim Panas,Cerah,Juni
3939,2011-06-18,Summer,2011,6,0,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.62,0.5606,0.88,0.1343,21,83,104,Musim Panas,Cerah,Juni
3940,2011-06-18,Summer,2011,6,1,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.62,0.5758,0.83,0.1045,15,80,95,Musim Panas,Cerah,Juni
3941,2011-06-18,Summer,2011,6,2,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.6,0.5455,0.88,0.0,16,37,53,Musim Panas,Cerah,Juni
3942,2011-06-18,Summer,2011,6,3,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.6,0.5455,0.88,0.0896,4,16,20,Musim Panas,Cerah,Juni
3943,2011-06-18,Summer,2011,6,4,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.6,0.5455,0.88,0.0896,1,4,5,Musim Panas,Cerah,Juni
3944,2011-06-18,Summer,2011,6,5,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.62,0.5758,0.83,0.0,1,6,7,Musim Panas,Cerah,Juni
3945,2011-06-18,Summer,2011,6,6,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.62,0.5758,0.83,0.1045,9,18,27,Musim Panas,Cerah,Juni
3946,2011-06-18,Summer,2011,6,7,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.64,0.5909,0.78,0.1343,12,45,57,Musim Panas,Cerah,Juni
3947,2011-06-18,Summer,2011,6,8,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.66,0.6061,0.78,0.0896,28,103,131,Musim Panas,Cerah,Juni
3948,2011-06-18,Summer,2011,6,9,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.7,0.6515,0.61,0.2239,62,156,218,Musim Panas,Cerah,Juni
3949,2011-06-18,Summer,2011,6,10,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.72,0.6818,0.62,0.194,68,176,244,Musim Panas,Cerah,Juni
3950,2011-06-18,Summer,2011,6,11,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.72,0.6818,0.62,0.1343,134,270,404,Musim Panas,Cerah,Juni
3951,2011-06-18,Summer,2011,6,12,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.74,0.697,0.66,0.0896,162,258,420,Musim Panas,Cerah,Juni
3952,2011-06-18,Summer,2011,6,13,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.76,0.697,0.55,0.0,135,192,327,Musim Panas,Cerah,Juni
3953,2011-06-18,Summer,2011,6,14,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.8,0.7273,0.46,0.2836,138,196,334,Musim Panas,Berawan/Berkabut,Juni
3954,2011-06-18,Summer,2011,6,15,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.82,0.7576,0.46,0.1343,153,214,367,Musim Panas,Berawan/Berkabut,Juni
3955,2011-06-18,Summer,2011,6,16,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.76,0.697,0.52,0.2239,193,275,468,Musim Panas,Berawan/Berkabut,Juni
3956,2011-06-18,Summer,2011,6,17,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.76,0.6818,0.48,0.1642,210,239,449,Musim Panas,Berawan/Berkabut,Juni
3957,2011-06-18,Summer,2011,6,18,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.74,0.6818,0.55,0.194,118,263,381,Musim Panas,Berawan/Berkabut,Juni
3958,2011-06-18,Summer,2011,6,19,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.74,0.6667,0.51,0.1045,99,227,326,Musim Panas,Berawan/Berkabut,Juni
3959,2011-06-18,Summer,2011,6,20,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.72,0.6667,0.58,0.1343,61,127,188,Musim Panas,Berawan/Berkabut,Juni
3960,2011-06-18,Summer,2011,6,21,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.72,0.6818,0.66,0.1045,58,125,183,Musim Panas,Berawan/Berkabut,Juni
3961,2011-06-18,Summer,2011,6,22,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.72,0.6818,0.62,0.1343,56,105,161,Musim Panas,Berawan/Berkabut,Juni
3962,2011-06-18,Summer,2011,6,23,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.72,0.6818,0.62,0.0,53,97,150,Musim Panas,Berawan/Berkabut,Juni
3963,2011-06-19,Summer,2011,6,0,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.7,0.6515,0.65,0.0,18,71,89,Musim Panas,Cerah,Juni
3964,2011-06-19,Summer,2011,6,1,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.7,0.6515,0.65,0.0896,17,59,76,Musim Panas,Berawan/Berkabut,Juni
3965,2011-06-19,Summer,2011,6,2,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.68,0.6364,0.74,0.0896,13,59,72,Musim Panas,Cerah,Juni
3966,2011-06-19,Summer,2011,6,3,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.66,0.6061,0.78,0.1343,14,16,30,Musim Panas,Berawan/Berkabut,Juni
3967,2011-06-19,Summer,2011,6,4,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.66,0.6212,0.74,0.1343,7,10,17,Musim Panas,Berawan/Berkabut,Juni
3968,2011-06-19,Summer,2011,6,5,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.66,0.6061,0.78,0.0,7,12,19,Musim Panas,Berawan/Berkabut,Juni
3969,2011-06-19,Summer,2011,6,6,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.66,0.6061,0.78,0.1642,11,22,33,Musim Panas,Berawan/Berkabut,Juni
3970,2011-06-19,Summer,2011,6,7,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.66,0.6061,0.78,0.1642,35,36,71,Musim Panas,Berawan/Berkabut,Juni
3971,2011-06-19,Summer,2011,6,8,0,0,Hari Libur,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.68,0.6364,0.74,0.1045,25,59,84,Musim Panas,Hujan Ringan/Salju,Juni
3972,2011-06-19,Summer,2011,6,9,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.68,0.6364,0.74,0.1045,58,111,169,Musim Panas,Berawan/Berkabut,Juni
3973,2011-06-19,Summer,2011,6,10,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.7,0.6515,0.61,0.1045,86,158,244,Musim Panas,Berawan/Berkabut,Juni
3974,2011-06-19,Summer,2011,6,11,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.72,0.6667,0.58,0.0896,141,236,377,Musim Panas,Berawan/Berkabut,Juni
3975,2011-06-19,Summer,2011,6,12,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.74,0.6818,0.55,0.0896,141,255,396,Musim Panas,Berawan/Berkabut,Juni
3976,2011-06-19,Summer,2011,6,13,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.74,0.6667,0.51,0.0,149,214,363,Musim Panas,Berawan/Berkabut,Juni
3977,2011-06-19,Summer,2011,6,14,0,0,Hari Libur,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.74,0.6818,0.58,0.1045,124,193,317,Musim Panas,Hujan Ringan/Salju,Juni
3978,2011-06-19,Summer,2011,6,15,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.74,0.6818,0.55,0.1045,146,216,362,Musim Panas,Berawan/Berkabut,Juni
3979,2011-06-19,Summer,2011,6,16,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.76,0.6818,0.48,0.0,121,257,378,Musim Panas,Berawan/Berkabut,Juni
3980,2011-06-19,Summer,2011,6,17,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.74,0.6667,0.51,0.0,159,238,397,Musim Panas,Cerah,Juni
3981,2011-06-19,Summer,2011,6,18,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.74,0.6818,0.58,0.0896,78,218,296,Musim Panas,Berawan/Berkabut,Juni
3982,2011-06-19,Summer,2011,6,19,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.72,0.6818,0.62,0.1343,94,217,311,Musim Panas,Cerah,Juni
3983,2011-06-19,Summer,2011,6,20,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.7,0.6515,0.7,0.194,86,146,232,Musim Panas,Cerah,Juni
3984,2011-06-19,Summer,2011,6,21,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.68,0.6364,0.79,0.1343,57,110,167,Musim Panas,Cerah,Juni
3985,2011-06-19,Summer,2011,6,22,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.66,0.6061,0.78,0.2239,38,114,152,Musim Panas,Cerah,Juni
3986,2011-06-19,Summer,2011,6,23,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.66,0.6061,0.78,0.194,14,78,92,Musim Panas,Cerah,Juni
3987,2011-06-20,Summer,2011,6,0,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.66,0.6061,0.83,0.1642,7,19,26,Musim Panas,Cerah,Juni
3988,2011-06-20,Summer,2011,6,1,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.64,0.5758,0.89,0.0896,9,3,12,Musim Panas,Cerah,Juni
3989,2011-06-20,Summer,2011,6,2,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.64,0.5758,0.89,0.0896,2,0,2,Musim Panas,Cerah,Juni
3990,2011-06-20,Summer,2011,6,3,0,1,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.64,0.5758,0.89,0.0,1,0,1,Musim Panas,Hujan Ringan/Salju,Juni
3991,2011-06-20,Summer,2011,6,4,0,1,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.62,0.5606,0.88,0.1642,1,2,3,Musim Panas,Hujan Ringan/Salju,Juni
3992,2011-06-20,Summer,2011,6,5,0,1,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.62,0.5758,0.83,0.1343,0,3,3,Musim Panas,Hujan Ringan/Salju,Juni
3993,2011-06-20,Summer,2011,6,6,0,1,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.6,0.5758,0.78,0.1343,1,25,26,Musim Panas,Hujan Ringan/Salju,Juni
3994,2011-06-20,Summer,2011,6,7,0,1,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.56,0.5303,0.88,0.194,0,46,46,Musim Panas,Hujan Ringan/Salju,Juni
3995,2011-06-20,Summer,2011,6,8,0,1,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.56,0.5303,0.83,0.194,12,209,221,Musim Panas,Hujan Ringan/Salju,Juni
3996,2011-06-20,Summer,2011,6,9,0,1,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.6,0.5758,0.78,0.2537,19,200,219,Musim Panas,Berawan/Berkabut,Juni
3997,2011-06-20,Summer,2011,6,10,0,1,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.6,0.5758,0.78,0.2537,33,58,91,Musim Panas,Berawan/Berkabut,Juni
3998,2011-06-20,Summer,2011,6,11,0,1,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.6,0.5758,0.78,0.1045,27,67,94,Musim Panas,Berawan/Berkabut,Juni
3999,2011-06-20,Summer,2011,6,12,0,1,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.62,0.6061,0.69,0.1045,33,129,162,Musim Panas,Berawan/Berkabut,Juni
4000,2011-06-20,Summer,2011,6,13,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.64,0.6061,0.65,0.1045,50,129,179,Musim Panas,Cerah,Juni
4001,2011-06-20,Summer,2011,6,14,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.66,0.6212,0.61,0.1045,45,130,175,Musim Panas,Cerah,Juni
4002,2011-06-20,Summer,2011,6,15,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.66,0.6212,0.61,0.1343,66,139,205,Musim Panas,Cerah,Juni
4003,2011-06-20,Summer,2011,6,16,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.7,0.6515,0.58,0.1642,61,238,299,Musim Panas,Cerah,Juni
4004,2011-06-20,Summer,2011,6,17,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.7,0.6515,0.54,0.0,81,484,565,Musim Panas,Cerah,Juni
4005,2011-06-20,Summer,2011,6,18,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.7,0.6515,0.61,0.2537,64,474,538,Musim Panas,Cerah,Juni
4006,2011-06-20,Summer,2011,6,19,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.66,0.6212,0.65,0.2239,62,369,431,Musim Panas,Cerah,Juni
4007,2011-06-20,Summer,2011,6,20,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.66,0.6212,0.69,0.2239,52,264,316,Musim Panas,Cerah,Juni
4008,2011-06-20,Summer,2011,6,21,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.64,0.6061,0.73,0.1642,39,167,206,Musim Panas,Cerah,Juni
4009,2011-06-20,Summer,2011,6,22,0,1,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.64,0.6061,0.73,0.2239,24,106,130,Musim Panas,Berawan/Berkabut,Juni
4010,2011-06-20,Summer,2011,6,23,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.62,0.5909,0.78,0.2537,10,50,60,Musim Panas,Cerah,Juni
4011,2011-06-21,Fall,2011,6,0,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.62,0.5909,0.78,0.1642,10,23,33,Musim Gugur,Cerah,Juni
4012,2011-06-21,Fall,2011,6,1,0,2,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.62,0.5909,0.78,0.1642,2,12,14,Musim Gugur,Hujan Ringan/Salju,Juni
4013,2011-06-21,Fall,2011,6,2,0,2,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.62,0.5758,0.83,0.1642,1,5,6,Musim Gugur,Hujan Ringan/Salju,Juni
4014,2011-06-21,Fall,2011,6,3,0,2,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.62,0.5758,0.83,0.1642,0,2,2,Musim Gugur,Hujan Ringan/Salju,Juni
4015,2011-06-21,Fall,2011,6,4,0,2,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.6,0.5455,0.88,0.1045,2,7,9,Musim Gugur,Berawan/Berkabut,Juni
4016,2011-06-21,Fall,2011,6,5,0,2,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.6,0.5455,0.88,0.1343,3,22,25,Musim Gugur,Berawan/Berkabut,Juni
4017,2011-06-21,Fall,2011,6,6,0,2,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.6,0.5455,0.88,0.1343,8,107,115,Musim Gugur,Berawan/Berkabut,Juni
4018,2011-06-21,Fall,2011,6,7,0,2,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.6,0.5152,0.94,0.0,21,288,309,Musim Gugur,Berawan/Berkabut,Juni
4019,2011-06-21,Fall,2011,6,8,0,2,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.62,0.5606,0.88,0.1045,33,368,401,Musim Gugur,Berawan/Berkabut,Juni
4020,2011-06-21,Fall,2011,6,9,0,2,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.62,0.5606,0.88,0.2537,32,243,275,Musim Gugur,Berawan/Berkabut,Juni
4021,2011-06-21,Fall,2011,6,10,0,2,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.64,0.5758,0.83,0.194,41,120,161,Musim Gugur,Berawan/Berkabut,Juni
4022,2011-06-21,Fall,2011,6,11,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.66,0.6061,0.83,0.1642,52,119,171,Musim Gugur,Cerah,Juni
4023,2011-06-21,Fall,2011,6,12,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.7,0.6667,0.74,0.1642,40,149,189,Musim Gugur,Cerah,Juni
4024,2011-06-21,Fall,2011,6,13,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.74,0.697,0.66,0.1642,49,158,207,Musim Gugur,Cerah,Juni
4025,2011-06-21,Fall,2011,6,14,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.76,0.7121,0.62,0.2239,44,108,152,Musim Gugur,Cerah,Juni
4026,2011-06-21,Fall,2011,6,15,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.78,0.7424,0.59,0.2537,42,128,170,Musim Gugur,Cerah,Juni
4027,2011-06-21,Fall,2011,6,16,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.8,0.7727,0.59,0.2239,62,273,335,Musim Gugur,Cerah,Juni
4028,2011-06-21,Fall,2011,6,17,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.78,0.7576,0.66,0.2239,65,507,572,Musim Gugur,Cerah,Juni
